ID,Source,Source Approach,Source Type,Clause,Class,Datapoint,Aligned Datapoint,Impact Category,Impact Subcategory,Applies To,Asset,Asset Level,Datapoint Type,Requirement Type,Generally Needed,Impact Type,Indicator,Information Container,Asset Type,
1,EU Tax,Top-down,Regulation,Tax_Adap_7_1,Data point,expected lifetime,Expected Asset Lifetime,Asset Integrity,,Product,,Product,Quantitative,Representation,-,Element Resilience,-,Product Specification Sheet,,
2,EU Tax,Top-down,Regulation,Tax_Adap_7_1,Data point,physical climate risks from the list in Appendix A,Measures are in place,Climate Health,Climate Resilience Strategies,Physical Climate Risks,,Project,Qualitative,Evidence,-,Environmental ,-,Climate change adaptation and impact report ,,
3,EU Tax,Top-down,Regulation,Tax_Adap_7_1,Data point,materiality of the physical climate risks on the economic activity,Measures are in place,Climate Health,Climate Resilience Strategies,Materiality of Climate Risks,,Project,Qualitative,Evidence,-,Environmental ,-,Climate change adaptation and impact report ,,
4,EU Tax,Top-down,Regulation,Tax_Adap_7_1,Data point,solutions that can reduce the identified physical climate risk,Solutions for Risk Mitigation,Climate Health,Climate Resilience Strategies,Project,,Project,Qualitative,Evidence,-,Environmental ,-,Risk Assessmnet ,,
5,EU Tax,Top-down,Regulation,Tax_Adap_7_1,Data point,expected lifespan,Expected Asset Lifetime,Asset Integrity,,Material,,Material,Quantitative,Representation,-,Physical characteristics,-,Material Passport,,
6,EU Tax,Top-down,Regulation,Tax_Adap_7_1,Data point,expected lifetime,Expected Asset Lifetime,Asset Integrity,,Product,,Product,Quantitative,Representation,-,Element Resilience,-,Product Specification Sheet,,
7,EU Tax,Top-down,Regulation,Tax_Adap_7_1,Data point,major investments,Scale of investment ,Social Health + Equity,,,,Portfolio,Quantitative,Representation,-,,-,,,
8,EU Tax,Top-down,Regulation,Tax_Adap_7_1,Data point,adaptation solutions,Measures are in place,Climate Health,Climate Resilience Strategies,Adaptation Solutions - Identified,,Project,Qualitative,Evidence,-,Environmental ,-,Environmental Impact Assessments (EIAs),,
8,EU Tax,Top-down,Regulation,Tax_Adap_7_1,Data point,adaptation solutions,Measures are in place,Climate Health,Climate Resilience Strategies,Adaptation Solutions - Implemented,,Project,Qualitative,Evidence,-,Environmental ,-,Environmental Impact Assessments (EIAs),,
9,EU Tax,Top-down,Regulation,Tax_Adap_7_1,Data point,"level of resilience to physical climate risks of other people, of nature, of cultural heritage, of assets and of other economic activities",Measures are in place,Climate Health,Climate Resilience Strategies,Physical Climate Risks,,Project,Qualitative,Evidence,-,Environmental ,-,Climate change adaptation and impact report ,,
10,EU Tax,Top-down,Regulation,Tax_Adap_7_1,Data point,pre-defined indicators,Measures are in place,Climate Health,Climate Resilience Strategies,Climate pre-defined indicators,,Project,Qualitative,Evidence,-,Environmental ,-,Climate change adaptation and impact report ,,
11,EU Tax,Top-down,Regulation,Tax_Adap_7_1,Data point,"	Primary 	Energy 	Demand",Primary Energy Demand (PED),Climate Health,Energy,Building,,Building,Quantitative,Representation,-,Energy Efficiency,Energy Consumption,Building Information,,
12,EU Tax,Top-down,Regulation,Tax_Adap_7_1,Data point,the threshold set for the nearly zero-energy building,Local threshold for Nearly zero-energy building (NZEB),Climate Health,Energy,Building,,Building,Qualitative,Representation,-,Energy Efficiency,-,Building Information,,
13,EU Tax,Top-down,Regulation,Tax_Adap_7_1,Data point,maximum water flow,Water Efficiency,Ecosystem Health,Water Footprint,maximum water flow,Taps,Product,Quantitative,Representation,-,Water Efficiency,Water Management,Product Specification Sheet,,
14,EU Tax,Top-down,Regulation,Tax_Adap_7_1,Data point,maximum water flow,Water Efficiency,Ecosystem Health,Water Footprint,maximum water flow,Showers,Product,Quantitative,Representation,-,Water Efficiency,Water Management,Product Specification Sheet,,
15,EU Tax,Top-down,Regulation,Tax_Adap_7_1,Data point,full flush volume,Water Efficiency,Ecosystem Health,Water Footprint,full flush volume,WC,Product,Quantitative,Representation,-,Water Efficiency,Water Management,Product Specification Sheet,,
16,EU Tax,Top-down,Regulation,Tax_Adap_7_1,Data point,maximum average flush,Water Efficiency,Ecosystem Health,Water Footprint,maximum average flush,WC,Product,Quantitative,Representation,-,Water Efficiency,Water Management,Product Specification Sheet,,
17,EU Tax,Top-down,Regulation,Tax_Adap_7_1,Data point,maximum,Water Efficiency,Ecosystem Health,Water Footprint,full flush volume/bowl/hour,Urinal,Product,Quantitative,Representation,-,Water Efficiency,Water Management,Product Specification Sheet,,
18,EU Tax,Top-down,Regulation,Tax_Adap_7_1,Data point,maximum full flush volume,Water Efficiency,Ecosystem Health,Water Footprint,maximum average flush,Urinal,Product,Quantitative,Representation,-,Water Efficiency,Water Management,Product Specification Sheet,,
19,EU Tax,Top-down,Regulation,Tax_Adap_7_1,Data point,maximum,Water Efficiency,Ecosystem Health,Water Footprint,maximum average flush,Urinal,Product,Quantitative,Representation,-,Water Efficiency,Water Management,Product Specification Sheet,,
20,EU Tax,Top-down,Regulation,Tax_Adap_7_1,Data point,weight),Waste Mass,Circular Economy,Waste Management,non-haradous waste,,Waste,Quantitative,Representation,-,Physical characteristics,Waste Management,Material Passport,,
20,EU Tax,Top-down,Regulation,Tax_Adap_7_1,Data point,weight),Waste Mass,Circular Economy,Waste Management,Waste,,Waste,Quantitative,Representation,-,Physical characteristics,Waste Management,Material Passport,,
21,EU Tax,Top-down,Regulation,Tax_Adap_7_1,Data point,may come into contact with occupiers,Substance of Concern Management,Human Health,,formaldehyde mg/m3,Formaldehyde,Material,Quantitative,Representation,-,Physical characteristics,Safety,Material Passport,,
22,EU Tax,Top-down,Regulation,Tax_Adap_7_1,Data point,"construction is located on a potentially contaminated site (brownfield site),",Location prior use,Human Health,,Is it a potentially contaminated site,,Site,Binary,Verification,-,Physical characteristics,-,Site investigation report,,
23,EU Tax,Top-down,Regulation,Tax_Adap_7_1,Data point,has been subject to an investigation for potential contaminants,Location prior use,Human Health,,Is it a potentially contaminated site,,Site,Binary,Verification,-,Physical characteristics,-,Site investigation report,,
24,EU Tax,Top-down,Regulation,Tax_Adap_7_1,Data point,new construction is not built on one of the following,Location prior use,Asset Integrity,,Construction site,,Site,Quantitative,Representation,-,Physical characteristics,-,Site investigation report,,
24,EU Tax,Top-down,Regulation,Tax_Adap_7_1,Data point,new construction is not built on one of the following,Location prior use,Asset Integrity,,Construction site,,Site,Quantitative,Representation,-,Physical characteristics,-,Site investigation report,,
24,EU Tax,Top-down,Regulation,Tax_Adap_7_1,Data point,new construction is not built on one of the following,Location prior use,Asset Integrity,,Construction site,,Site,Quantitative,Representation,-,Physical characteristics,-,Site investigation report,,
25,EU Tax,Top-down,Regulation,Tax_Adap_7_2,Data point,n expected lifespa,Expected Asset Lifetime,Asset Integrity,,Building,,Building,Quantitative,Representation,-,Element Resilience,-,Building Information,,
26,EU Tax,Top-down,Regulation,Tax_Adap_7_2,Data point,"The building is not dedicated to extraction, storage, transport or manufacture of fossil fuels. ",Fossil Fuel Depletion,Climate Health,Climate Resilience Strategies,Project,,Project,Binary,Verification,-,Carbon Emission,-,Environmental Impact Assessments (EIAs),,
27,EU Tax,Top-down,Regulation,Tax_Adap_7_2,Data point,a maximum water flow ,Water Efficiency,Ecosystem Health,Water Footprint,maximum water flow,Taps,Product,Quantitative,Representation,-,Water Efficiency,Water Management,Product Specification Sheet,,
28,EU Tax,Top-down,Regulation,Tax_Adap_7_2,Data point,a maximum water flow ,Water Efficiency,Ecosystem Health,Water Footprint,maximum water flow,Showers,Product,Quantitative,Representation,-,Water Efficiency,-,Product Specification Sheet,,
29,EU Tax,Top-down,Regulation,Tax_Adap_7_2,Data point,a full flush volume ,Water Efficiency,Ecosystem Health,Water Footprint,full flush volume,WC,Product,Quantitative,Representation,-,Water Efficiency,Water Management,Product Specification Sheet,,
30,EU Tax,Top-down,Regulation,Tax_Adap_7_2,Data point,a maximum average flush volume ,Water Efficiency,Ecosystem Health,Water Footprint,maximum average flush,WC,Product,Quantitative,Representation,-,Water Efficiency,Water Management,Product Specification Sheet,,
31,EU Tax,Top-down,Regulation,Tax_Adap_7_2,Data point,a maximum of 2 litres/bowl/hour.,Water Efficiency,Ecosystem Health,Water Footprint,full flush volume/bowl/hour,Urinal,Product,Quantitative,Representation,-,Water Efficiency,Water Management,Product Specification Sheet,,
32,EU Tax,Top-down,Regulation,Tax_Adap_7_2,Data point,a maximum full flush volume ,Water Efficiency,Ecosystem Health,Water Footprint,maximum full flush,Urinal,Product,Quantitative,Representation,-,Water Efficiency,Water Management,Product Specification Sheet,,
33,EU Tax,Top-down,Regulation,Tax_Adap_7_2,Data point,% (by weight) of the non-hazardous construction and demolition waste,Waste Mass,Circular Economy,Waste Management,non-haradous waste,,Waste,Quantitative,Representation,-,Physical characteristics,Waste Management,Material Passport,,
33,EU Tax,Top-down,Regulation,Tax_Adap_7_2,Data point,% (by weight) of the non-hazardous construction and demolition waste,Waste Mass,Circular Economy,Waste Management,Waste,,Waste,Quantitative,Representation,-,Physical characteristics,Waste Management,Material Passport,,
34,EU Tax,Top-down,Regulation,Tax_Adap_7_2,Data point,assessing the disassembly or adaptability of buildings,Design for Disassembly,Circular Economy,CE Activities,disassembly or adaptability of buildings,,Building,Qualitative,Evidence,-,Element Resilience,-,Building Certification,,
35,EU Tax,Top-down,Regulation,Tax_Adap_7_2,Data point,mg of formaldehyde per m 3 of material,Substance of Concern Management,Human Health,,formaldehyde mg/m3,Formaldehyde,Material,Quantitative,Representation,-,Physical characteristics,Safety,Material Passport,,
36,EU Tax,Top-down,Regulation,Tax_Adap_7_2,Data point,mg of other categories 1A and 1B carcinogenic volatile organic compounds per m 3 of material or component,Substance of Concern Management,Human Health,,Carcinogenic volatile organic ,Carcinogenic volatile organic ,Material,Quantitative,Representation,-,Physical characteristics,Safety,Material Passport,,
37,EU Tax,Top-down,Regulation,Tax_Adap_7_2,Data point,"
Measures are taken to reduce noise, dust and pollutant emissions during construction or maintenance works",Measures are in place,Climate Health,Climate Resilience Strategies,"Noise, dust and pollutant emissions measures",,Project,Qualitative,Evidence,-,Environmental ,-,Environmental Impact Assessments (EIAs),,
38,EU Tax,Top-down,Regulation,Tax_Adap_7_2,Data point,"
Protection and restoration of biodiversity and ecosystems",Measures are in place,Climate Health,Climate Resilience Strategies,Protection and restoration of biodiversity and ecosystems measures,,Project,Qualitative,Evidence,-,Environmental ,-,Environmental Impact Assessments (EIAs),,
39,EU Tax,Top-down,Regulation,Tax_Adap_7_2,Data point,limit waste generation in processes related construction and demolition,Waste Mass,Circular Economy,Waste Management,Waste generation measures,,Waste,Qualitative,Evidence,-,Material efficiency,Waste Management,Waste Management Plan,,
40,EU Tax,Top-down,Regulation,Tax_Adap_7_2,Data point,", a climate risk and vulnerability assessmen",Measures are in place,Climate Health,Climate Resilience Strategies,Climate risk and vulnerability assessment,,Project,Binary,Evidence,-,Environmental ,-,Climate change adaptation and impact report ,,
41,EU Tax,Top-down,Regulation,Tax_Adap_7_3,Data point,the most important physical climate risks,Measures are in place,Climate Health,Climate Resilience Strategies,Physical Climate Risks,,Project,Qualitative,Evidence,-,Environmental ,-,Climate change adaptation and impact report ,,
42,EU Tax,Top-down,Regulation,Tax_Adap_7_3,Data point,implemented physical and non-physical solutions (‘adaptation solutions’),Measures are in place,Climate Health,Climate Resilience Strategies,Adaptation Solutions - Identified,,Project,Qualitative,Evidence,-,Environmental ,-,Environmental Impact Assessments (EIAs),,
42,EU Tax,Top-down,Regulation,Tax_Adap_7_3,Data point,implemented physical and non-physical solutions (‘adaptation solutions’),Measures are in place,Climate Health,Climate Resilience Strategies,Adaptation Solutions - Implemented,,Project,Qualitative,Evidence,-,Environmental ,-,Environmental Impact Assessments (EIAs),,
43,EU Tax,Top-down,Regulation,Tax_Adap_7_3,Data point,max water flow,Water Efficiency,Ecosystem Health,Water Footprint,maximum water flow,Taps,Product,Quantitative,Representation,-,Water Efficiency,-,Product Specification Sheet,,
44,EU Tax,Top-down,Regulation,Tax_Adap_7_3,Data point,physical climate risks,Measures are in place,Climate Health,Climate Resilience Strategies,Physical Climate Risks,,Project,Qualitative,Evidence,-,Environmental ,-,Climate change adaptation and impact report ,,
45,EU Tax,Top-down,Regulation,Tax_Adap_7_3,Data point,physical climate risks,Measures are in place,Climate Health,Climate Resilience Strategies,Physical Climate Risks,,Project,Qualitative,Evidence,-,Environmental ,-,Climate change adaptation and impact report ,,
46,EU Tax,Top-down,Regulation,Tax_Adap_7_3,Data point,physical climate risks,Measures are in place,Climate Health,Climate Resilience Strategies,Physical Climate Risks,,Project,Qualitative,Evidence,-,Environmental ,-,Climate change adaptation and impact report ,,
47,EU Tax,Top-down,Regulation,Tax_Adap_7_3,Data point,materiality of the physical climate risks,Measures are in place,Climate Health,Climate Resilience Strategies,Materiality of Climate Risks,,Project,Qualitative,Evidence,-,Environmental ,-,Climate change adaptation and impact report ,,
48,EU Tax,Top-down,Regulation,Tax_Adap_7_3,Data point,expected lifetime,Expected Asset Lifetime,Asset Integrity,,Product,,Product,Quantitative,Representation,-,Element Resilience,-,Product Specification Sheet,,
49,EU Tax,Top-down,Regulation,Tax_Adap_7_3,Data point,adaptation solutions,Measures are in place,Climate Health,Climate Resilience Strategies,Adaptation Solutions - Identified,,Project,Qualitative,Evidence,-,Environmental ,-,Environmental Impact Assessments (EIAs),,
49,EU Tax,Top-down,Regulation,Tax_Adap_7_3,Data point,adaptation solutions,Measures are in place,Climate Health,Climate Resilience Strategies,Adaptation Solutions - Implemented,,Project,Qualitative,Evidence,-,Environmental ,-,Environmental Impact Assessments (EIAs),,
50,EU Tax,Top-down,Regulation,Tax_Adap_7_3,Data point,physical climate risk,Measures are in place,Climate Health,Climate Resilience Strategies,Physical Climate Risks,,Project,Qualitative,Evidence,-,Environmental ,-,Climate change adaptation and impact report ,,
51,EU Tax,Top-down,Regulation,Tax_Adap_7_3,Data point,expected lifespan,Expected Asset Lifetime,Asset Integrity,,Product,,Product,Quantitative,Representation,-,Element Resilience,-,Product Specification Sheet,,
52,EU Tax,Top-down,Regulation,Tax_Adap_7_3,Data point,expected lifespan,Expected Asset Lifetime,Asset Integrity,,Product,,Product,Quantitative,Representation,-,Element Resilience,-,Product Specification Sheet,,
53,EU Tax,Top-down,Regulation,Tax_Adap_7_3,Data point,expected lifetime of the activity,Expected Asset Lifetime,Asset Integrity,,Product,,Product,Quantitative,Representation,-,Element Resilience,-,Product Specification Sheet,,
54,EU Tax,Top-down,Regulation,Tax_Adap_7_3,Data point,climate projections,Measures are in place,Climate Health,Climate Resilience Strategies,Climate Projections,,Project,Qualitative,Evidence,-,Environmental ,-,Environmental Impact Assessments (EIAs),,
55,EU Tax,Top-down,Regulation,Tax_Adap_7_3,Data point,assessment of impacts,Measures are in place,Climate Health,Climate Resilience Strategies,Climate impacts Assessment,,Project,Binary,Evidence,-,Environmental ,-,Climate change adaptation and impact report ,,
56,EU Tax,Top-down,Regulation,Tax_Adap_7_7,Data point,‘adaptation solutions,Measures are in place,Climate Health,Climate Resilience Strategies,Adaptation Solutions - Identified,,Project,Qualitative,Evidence,-,Environmental ,-,Environmental Impact Assessments (EIAs),,
56,EU Tax,Top-down,Regulation,Tax_Adap_7_7,Data point,‘adaptation solutions,Measures are in place,Climate Health,Climate Resilience Strategies,Adaptation Solutions - Implemented,,Project,Qualitative,Evidence,-,Environmental ,-,Environmental Impact Assessments (EIAs),,
57,EU Tax,Top-down,Regulation,Tax_Adap_7_7,Data point,the most important physical climate risks that are material to that activity,Measures are in place,Climate Health,Climate Resilience Strategies,Physical Climate Risks,,Project,Qualitative,Evidence,-,Environmental ,-,Climate change adaptation and impact report ,,
58,EU Tax,Top-down,Regulation,Tax_Adap_7_7,Data point,physical climate risks that are material to the activity,Measures are in place,Climate Health,Climate Resilience Strategies,Materiality of Climate Risks,,Project,Qualitative,Evidence,-,Environmental ,-,Climate change adaptation and impact report ,,
59,EU Tax,Top-down,Regulation,Tax_Adap_7_7,Data point,physical climate risks,Measures are in place,Climate Health,Climate Resilience Strategies,Physical Climate Risks,,Project,Qualitative,Evidence,-,Environmental ,-,Climate change adaptation and impact report ,,
60,EU Tax,Top-down,Regulation,Tax_Adap_7_7,Data point,expected lifetime,Expected Asset Lifetime,Asset Integrity,,Product,,Product,Quantitative,Representation,-,Element Resilience,-,Product Specification Sheet,,
61,EU Tax,Top-down,Regulation,Tax_Adap_7_7,Data point,physical climate risks,Measures are in place,Climate Health,Climate Resilience Strategies,Physical Climate Risks,,Project,Qualitative,Evidence,-,Environmental ,-,Climate change adaptation and impact report ,,
62,EU Tax,Top-down,Regulation,Tax_Adap_7_7,Data point,materiality of the physical climate risks,Measures are in place,Climate Health,Climate Resilience Strategies,Materiality of Climate Risks,,Project,Qualitative,Evidence,-,Environmental ,-,Climate change adaptation and impact report ,,
63,EU Tax,Top-down,Regulation,Tax_Adap_7_7,Data point,physical climate risk,Measures are in place,Climate Health,Climate Resilience Strategies,Physical Climate Risks,,Project,Qualitative,Evidence,-,Environmental ,-,Climate change adaptation and impact report ,,
64,EU Tax,Top-down,Regulation,Tax_Adap_7_7,Data point,expected lifespan,Expected Asset Lifetime,Asset Integrity,,Product,,Product,Quantitative,Representation,-,Element Resilience,-,Product Specification Sheet,,
65,EU Tax,Top-down,Regulation,Tax_Adap_7_7,Data point,scale of the activity,Activity Scale,Social Health + Equity,,Peak energy delivered/space,,Project,Quantitative,Evidence,-,,-,,,
66,EU Tax,Top-down,Regulation,Tax_Adap_7_7,Data point,expected lifespan,Expected Asset Lifetime,Asset Integrity,,Product,,Product,Quantitative,Representation,-,Element Resilience,-,Product Specification Sheet,,
67,EU Tax,Top-down,Regulation,Tax_Adap_7_7,Data point,expected lifetime of the activity,Expected Asset Lifetime,Asset Integrity,,Product,,Product,Quantitative,Representation,-,Element Resilience,-,Product Specification Sheet,,
68,EU Tax,Top-down,Regulation,Tax_Adap_7_7,Data point,adaptation solutions implemented,Measures are in place,Climate Health,Climate Resilience Strategies,Adaptation Solutions - Identified,,Project,Qualitative,Evidence,-,Environmental ,-,Environmental Impact Assessments (EIAs),,
68,EU Tax,Top-down,Regulation,Tax_Adap_7_7,Data point,adaptation solutions implemented,Measures are in place,Climate Health,Climate Resilience Strategies,Adaptation Solutions - Implemented,,Project,Qualitative,Evidence,-,Environmental ,-,Environmental Impact Assessments (EIAs),,
69,EU Tax,Top-down,Regulation,Tax_Adap_7_7,Data point,built before 31 December 2020,Date of Built,Asset Integrity,,,,Building,Quantitative,Representation,-,Physical characteristics,-,Building Information,,
70,EU Tax,Top-down,Regulation,Tax_Adap_7_7,Data point,Energy Performance Certificate (EPC) class,Energy Performance Certificate (EPC),Climate Health,Energy,Building,,Building,Quantitative,Compliance,-,Energy Efficiency,-,Energy Performance Certificate (EPC),,
71,EU Tax,Top-down,Regulation,Tax_Adap_7_7,Data point,% of the national or regional building stock expressed as operational Primary Energy Demand (PED),Primary Energy Demand (PED),Climate Health,Energy,Building,,Building,Quantitative,Representation,-,Energy Efficiency,Energy Consumption,Building Information,,
71,EU Tax,Top-down,Regulation,Tax_Adap_7_7,Data point,% of the national or regional building stock expressed as operational Primary Energy Demand (PED),Primary Energy Demand (PED) National or Regional,Climate Health,Energy,Building,,Building,Quantitative,Representation,-,Energy Efficiency,Energy Consumption,Building Information,,
71,EU Tax,Top-down,Regulation,Tax_Adap_7_7,Data point,% of the national or regional building stock expressed as operational Primary Energy Demand (PED),Primary Energy Demand (PED)/ National or regional PED,Climate Health,Energy,Building,,Building,Calculated,Representation,-,Energy Efficiency,Energy Consumption,Building Information,,
72,EU Tax,Top-down,Regulation,Tax_Adap_7_7,Data point,performance of the national or regional stock built before 31 December 2020,National building stock performance - 15th Percentile,Asset Integrity,,Building,,Building,Quantitative,Representation,-,Energy Efficiency,-,Building Information,,
73,EU Tax,Top-down,Regulation,Tax_Adap_7_7,Data point,residential,Building Typology,Asset Integrity,,Building,,Building,Quantitative,Representation,-,Physical characteristics,Building Characteristics,Building Information,,
74,EU Tax,Top-down,Regulation,Tax_Adap_7_7,Data point,non-residential,Building Typology,Asset Integrity,,Building,,Building,Quantitative,Representation,-,Physical characteristics,Building Characteristics,Building Information,,
75,EU Tax,Top-down,Regulation,Tax_Adap_7_7,Data point,buildings,-,Asset Integrity,,,,Building,,,-,,-,,,
76,EU Tax,Top-down,Regulation,Tax_Adap_7_7,Data point,Energy Performance Certificate (EPC,Energy Performance Certificate (EPC),Climate Health,Energy,Building,,Building,Binary,Compliance,-,Energy Efficiency,-,Energy Performance Certificate (EPC),,
77,EU Tax,Top-down,Regulation,Tax_Adap_7_7,Data point,energy performance of the building,Primary Energy Demand (PED),Climate Health,Energy,Building,,Building,Quantitative,Representation,-,Energy Efficiency,Energy Consumption,Building Information,,
78,EU Tax,Top-down,Regulation,Tax_Adap_7_7,Data point,Primary Energy Demand (PED),Primary Energy Demand (PED),Climate Health,Energy,Building,,Building,Quantitative,Representation,-,Energy Efficiency,Energy Consumption,Building Information,,
79,EU Tax,Top-down,Regulation,Tax_Adap_7_7,Data point,built after 31 December 2020,Date of Built,Asset Integrity,,,,Building,Quantitative,Representation,-,Physical characteristics,-,Building Information,,
80,EU Tax,Top-down,Regulation,Tax_Mit_7_1,Data point,Primary Energy Demand,Primary Energy Demand (PED),Climate Health,Energy,Building,,Building,Quantitative,Representation,-,Energy Efficiency,Energy Consumption,Building Information,,
81,EU Tax,Top-down,Regulation,Tax_Mit_7_1,Data point,using an as built Energy Performance Certificate,Energy Performance Certificate (EPC),Climate Health,Energy,Building,,Building,Binary,Compliance,-,Energy Efficiency,-,Energy Performance Certificate (EPC),,
82,EU Tax,Top-down,Regulation,Tax_Mit_7_1,Data point,buildings larger than 5 000 m 2 ( 283,Building Size,Asset Integrity,,Building,,Building,Quantitative,Representation,-,Physical characteristics,Building Characteristics,Building Information,,
83,EU Tax,Top-down,Regulation,Tax_Mit_7_1,Data point,levels of performance set at the design stage,Thermal Integrity,Asset Integrity,,Air tightness,,Building,Qualitative,Representation,-,Energy Efficiency,Building Characteristics,Building Information,,
83,EU Tax,Top-down,Regulation,Tax_Mit_7_1,Data point,levels of performance set at the design stage,Thermal Integrity,Asset Integrity,,Air tightness,,Building,Qualitative,Representation,-,Energy Efficiency,Building Characteristics,Building Information,,
83,EU Tax,Top-down,Regulation,Tax_Mit_7_1,Data point,levels of performance set at the design stage,Thermal Integrity,Asset Integrity,,Building -  Designed,,Building,Qualitative,Representation,-,Energy Efficiency,Building Characteristics,Building Information,,
83,EU Tax,Top-down,Regulation,Tax_Mit_7_1,Data point,levels of performance set at the design stage,Thermal Integrity,Asset Integrity,,Building - Actual,,Building,Qualitative,Representation,-,Energy Efficiency,Building Characteristics,Building Information,,
84,EU Tax,Top-down,Regulation,Tax_Mit_7_1,Data point,building envelope,Building Layers,Asset Integrity,,Building,,Building,Quantitative,Representation,-,Physical characteristics,Building Characteristics,Building Information,,
85,EU Tax,Top-down,Regulation,Tax_Mit_7_1,Data point,robust and traceable quality control processes are in place,Measures are in place,Asset Integrity,,Quality Control Assessment,,Project,Qualitative,Evidence,-,Social ,Project Characteristics,Quality Control Assessment,,
86,EU Tax,Top-down,Regulation,Tax_Mit_7_1,Data point,buildings larger than 5 000 m 2,Building Size,Asset Integrity,,Building,,Building,Quantitative,Representation,-,Physical characteristics,Building Characteristics,Building Information,,
87,EU Tax,Top-down,Regulation,Tax_Mit_7_1,Data point,reference study period,-,Asset Integrity,,,,Building,,,-,,-,,,
88,EU Tax,Top-down,Regulation,Tax_Mit_7_1,Data point,GWP,Global Warming Potenial (GWP),Climate Health,Greenhouse Gas Emissions,Building,,Building,Quantitative,Representation,-,Carbon Emission,-,Building Information,,
89,EU Tax,Top-down,Regulation,Tax_Mit_7_1,Data point,life cycle stage,Lifecycle Stage,Asset Integrity,,Project,,Project,Qualitative,Representation,-,Social ,-,Project Documents,,
90,EU Tax,Top-down,Regulation,Tax_Mit_7_1,Data point,energy demand,Primary Energy Demand (PED),Climate Health,Energy,Building,,Building,Quantitative,Representation,-,Energy Efficiency,Energy Consumption,Building Information,,
91,EU Tax,Top-down,Regulation,Tax_Mit_7_1,Data point,total primary energy,Primary Energy Demand (PED),Climate Health,Energy,Building,,Building,Quantitative,Representation,-,Energy Efficiency,Energy Consumption,Building Information,,
92,EU Tax,Top-down,Regulation,Tax_Mit_7_1,Data point,scope of building elements and technical equipment,Product Scope,Ecosystem Health,Lifecycle Enviromental,The scope of building elements and technical equipment is as defined in the Level(s) common EU framework for indicator 1.2,,Element,Binary,Compliance,-,Environmental ,Product Characteristics,Life Cycle Assessment (LCA),,
93,EU Tax,Top-down,Regulation,Tax_Mit_7_1,Data point,calculation tools,Measures are in place,Climate Health,Climate Resilience Strategies,Energy Performance Calculation Tools,,Project,Qualitative,Evidence,-,Environmental ,-,Project Documents,,
94,EU Tax,Top-down,Regulation,Tax_Mit_7_1,Data point,life-cycle Global Warming Potential,Global Warming Potenial (GWP),Climate Health,Greenhouse Gas Emissions,Project,,Project,Quantitative,Representation,-,Carbon Emission,-,Environmental Product Declaration (EPD),,
95,EU Tax,Top-down,Regulation,Tax_Mit_7_1,Data point,each stage in the life cycle,Lifecycle Stage,Asset Integrity,,Project,,Project,Qualitative,Representation,-,Social ,-,Project Documents,,
96,EU Tax,Top-down,Regulation,Tax_Mit_7_1,Data point,water flow,Water Efficiency,Ecosystem Health,Water Footprint,maximum water flow,Taps,Product,Quantitative,Representation,-,Water Efficiency,-,Product Specification Sheet,,
97,EU Tax,Top-down,Regulation,Tax_Mit_7_1,Data point,water flow,Water Efficiency,Ecosystem Health,Water Footprint,maximum water flow,Showers,Product,Quantitative,Representation,-,Water Efficiency,-,Product Specification Sheet,,
98,EU Tax,Top-down,Regulation,Tax_Mit_7_1,Data point,full flush volume,Water Efficiency,Ecosystem Health,Water Footprint,full flush volume,WC,Product,Quantitative,Representation,-,Water Efficiency,-,Product Specification Sheet,,
99,EU Tax,Top-down,Regulation,Tax_Mit_7_1,Data point,maximum average flush volume,Water Efficiency,Ecosystem Health,Water Footprint,maximum average flush,WC,Product,Quantitative,Representation,-,Water Efficiency,-,Product Specification Sheet,,
100,EU Tax,Top-down,Regulation,Tax_Mit_7_1,Data point,litres/bowl/hour,Water Efficiency,Ecosystem Health,Water Footprint,full flush volume/bowl/hour,Urinal,Product,Quantitative,Representation,-,Water Efficiency,-,Product Specification Sheet,,
101,EU Tax,Top-down,Regulation,Tax_Mit_7_1,Data point,maximum full flush volume,Water Efficiency,Ecosystem Health,Water Footprint,maximum average flush,Urinal,Product,Quantitative,Representation,-,Water Efficiency,-,Product Specification Sheet,,
102,EU Tax,Top-down,Regulation,Tax_Mit_7_1,Data point,weight,Waste Mass,Circular Economy,Waste Management,non-haradous waste,,Waste,Quantitative,Representation,-,Physical characteristics,Waste Management,Material Passport,,
102,EU Tax,Top-down,Regulation,Tax_Mit_7_1,Data point,weight,Waste Mass,Circular Economy,Waste Management,Waste,,Waste,Quantitative,Representation,-,Physical characteristics,Waste Management,Material Passport,,
103,EU Tax,Top-down,Regulation,Tax_Mit_7_1,Data point,formaldehyde per m 3 of material or component,Substance of Concern Management,Human Health,,formaldehyde mg/m3,Formaldehyde,Material,Quantitative,Representation,-,Physical characteristics,Safety,Material Passport,,
104,EU Tax,Top-down,Regulation,Tax_Mit_7_1,Data point,1A and 1B carcinogenic volatile organic compounds per m 3 of material or component,Substance of Concern Management,Human Health,,Carcinogenic volatile organic ,Carcinogenic volatile organic ,Material,Quantitative,Representation,-,Physical characteristics,Safety,Material Passport,,
105,EU Tax,Top-down,Regulation,Tax_Mit_7_1,Data point,located,Project Location,Asset Integrity,,Construction site,,Project,Qualitative,Representation,-,Physical characteristics,Building Characteristics,Building Information,,
